Subject,Question,Option A,Option B,Option C,Option D,Answer,Cluster
Chemistry,Which alcohol is commonly used in alcoholic beverages?,Methanol,Ethanol,Propanol,Butanol,B,7
Chemistry,What is the functional group in aldehydes?,–OH,–COOH,–CHO,–CO–,C,6
Chemistry,Which compound is used as an antifreeze in car radiators?,Methanol,Ethanol,Propanol,Glycerol,B,7
Chemistry,What is the product of the reaction between ethanol and sodium?,Sodium ethoxide and hydrogen,Sodium ethanoate and hydrogen,Sodium hydroxide and ethane,Sodium chloride and water,A,4
Chemistry,Which acid is present in vinegar?,Methanoic acid,Ethanoic acid,Propanoic acid,Butanoic acid,B,2
Chemistry,What type of isomerism is shown by compounds with the same molecular formula but different functional groups?,Chain isomerism,Positional isomerism,Functional isomerism,Stereoisomerism,C,6
Chemistry,Which of these is an example of a dicarboxylic acid?,Methanoic acid,Ethanoic acid,Oxalic acid,Benzoic acid,C,2
Chemistry,What is the common name for methanoic acid?,Acetic acid,Formic acid,Propionic acid,Butyric acid,B,2
Chemistry,Which polymer is used for making non-stick cookware?,Polythene,Polypropene,Polystyrene,Polytetrafluoroethene,D,7
Chemistry,What is the monomer of natural rubber?,Isoprene,Ethene,Ethyne,Styrene,A,7
Chemistry,Which carbohydrate is a non-reducing sugar?,Glucose,Fructose,Sucrose,Maltose,C,4
Chemistry,What is the product of the fermentation of glucose?,Ethanol and CO2,Methanol and CO2,Ethanoic acid and water,Ethene and water,A,4
Chemistry,Which element is added during vulcanization of rubber?,Carbon,Sulphur,Nitrogen,Oxygen,B,7
Chemistry,What is the primary use of hydrogenation in the food industry?,To make soaps,To produce margarine,To make detergents,To produce ethanol,B,3
Chemistry,Which type of plastic can be remoulded upon heating?,Thermosetting plastic,Thermoplastic,Bakelite,Urea-methanal,B,7
Chemistry,What is the name of the process where large molecules are broken down into smaller ones?,Polymerization,Condensation,Hydrolysis,Hydrogenation,C,4
Chemistry,Which gas is produced when calcium carbide reacts with water?,Methane,Ethene,Ethyne,Carbon dioxide,C,4
Chemistry,What is the structural formula of benzene often represented as?,A straight chain,A ring with alternating double bonds,A tetrahedral structure,A linear chain with triple bonds,B,6
Chemistry,Which compound is used as a solvent for oils and fats?,Water,Benzene,Ethanol,Methanol,B,7
Chemistry,What is the name of the reaction where an alcohol is converted to an alkene?,Esterification,Dehydration,Hydrogenation,Hydrolysis,B,4
Chemistry,Which functional group is present in ketones?,–CHO,–COOH,–OH,–CO–,D,6
Chemistry,What is the product when an aldehyde is oxidized?,Carboxylic acid,Alcohol,Ketone,Ester,A,4
Chemistry,Which compound is used in the manufacture of explosives like TNT?,Benzene,Toluene,Phenol,Nitrobenzene,B,7
Chemistry,What is the product when ethanoic acid reacts with phosphorus pentachloride?,Ethanoyl chloride,Ethanol,Ethene,Ethane,A,2
Chemistry,Which compound is produced when ethanol is oxidized with acidified potassium dichromate?,Ethanal,Ethanoic acid,Ethene,Ethane,B,4
Chemistry,What is the general formula for cycloalkanes?,CnH2n,CnH2n-2,CnH2n+2,CnH2n-6,A,6
Chemistry,Which of these is a characteristic of benzene?,It readily undergoes addition reactions,It burns with a non-sooty flame,It has a structure with alternating double bonds,It is saturated hydrocarbon,C,6
Chemistry,What is the name of the process where alkanes are broken down into smaller molecules?,Polymerization,Cracking,Reforming,Hydrogenation,B,4
Chemistry,Which alcohol is poisonous and can cause blindness?,Ethanol,Propanol,Methanol,Butanol,C,7
Chemistry,What is the functional group in a ketone?,–CHO,–COOH,–OH,–CO–,D,6
Chemistry,Which compound is used as a preservative for biological specimens?,Methanol,Ethanol,Ethanoic acid,Formalin,D,7
Chemistry,What is the product of the reaction between an alkanol and an alkanoic acid?,Ester,Ether,Aldehyde,Ketone,A,4
Chemistry,Which gas is produced when ethanol reacts with sodium?,Hydrogen,Oxygen,Carbon dioxide,Chlorine,A,4
Chemistry,What is the test for a carbonyl group in an aldehyde?,Turns blue litmus red,Forms a silver mirror with Tollens' reagent,Decolorizes bromine water,Produces a violet color with FeCl3,B,6
Chemistry,Which polymer is used for making bottles and containers?,Polystyrene,Polythene,Polyvinyl chloride,Nylon,B,7
Chemistry,What is the monomer unit in PVC?,Ethene,Chloroethene,Ethyne,Propene,B,7
Chemistry,Which carbohydrate gives a blue-black color with iodine solution?,Glucose,Sucrose,Starch,Cellulose,C,7
Chemistry,What is the product of the complete hydrolysis of proteins?,Fatty acids,Amino acids,Monosaccharides,Glycerol,B,4
Chemistry,Which type of isomerism is possible in alkenes but not in alkanes?,Chain isomerism,Positional isomerism,Geometric isomerism,Functional isomerism,C,6
Chemistry,What is the common name for 2-methylpropan-2-ol?,n-butanol,Isobutanol,tert-butanol,Sec-butanol,C,6
Chemistry,Which compound is used in the manufacture of dynamite?,Benzene,Toluene,Glycerol,Phenol,C,7
Chemistry,What is the product when ethene reacts with steam in the presence of a catalyst?,Ethanol,Ethanal,Ethanoic acid,Ethane,A,4
Chemistry,Which reagent is used to convert an aldehyde to a primary alcohol?,Acidified K2Cr2O7,Lithium aluminium hydride,Bromine water,Fehling's solution,B,4
Chemistry,What is the name of the reaction where an ester is formed from an acid and an alcohol?,Esterification,Saponification,Hydrolysis,Hydrogenation,A,4
Chemistry,Which compound is responsible for the smell of oranges?,Esters,Amines,Amides,Carboxylic acids,A,7
Chemistry,What is the general formula for ethers?,ROR',ROH,RCOOH,RNH2,A,6
Chemistry,Which fuel has the highest octane number?,Diesel,Kerosene,Petroleum,CNG,C,0
Chemistry,What is the product when calcium carbide reacts with water?,Ethene,Ethyne,Methane,Ethanol,B,8
Chemistry,Which compound is used as an antifreeze?,Methanol,Ethanol,Glycerol,Ethylene glycol,D,7
Chemistry,What is the name of the process where glucose is converted to ethanol and CO2?,Photosynthesis,Fermentation,Respiration,Distillation,B,4
Chemistry,Which vitamin is also known as ascorbic acid?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,C,2
Chemistry,What is the functional group in a carboxylic acid?,–OH,–CHO,–COOH,–CO–,C,6
Chemistry,Which compound is used in making smokeless gunpowder?,Cellulose nitrate,Cellulose acetate,Polytheme,Nylon,A,7
Chemistry,What is the product when an alkene reacts with hydrogen in the presence of nickel?,Alkane,Alkyne,Alcohol,Aldehyde,A,4
Chemistry,Which gas is used for ripening fruits artificially?,Ethene,Ethyne,Methane,Carbon dioxide,A,4
Chemistry,What is the name of the process where oils are converted to fats?,Hydrogenation,Saponification,Polymerization,Esterification,A,4
Chemistry,Which compound is used in the manufacture of bakelite?,Formaldehyde,Acetaldehyde,Acetone,Formic acid,A,7
Chemistry,What is the product when an aldehyde is reduced?,Primary alcohol,Secondary alcohol,Carboxylic acid,Ketone,A,4
Chemistry,Which carbohydrate is also known as fruit sugar?,Glucose,Fructose,Galactose,Sucrose,B,4
Chemistry,What is the test for an amino group?,Turns red litmus blue,Forms a precipitate with AgNO3,Decolorizes bromine water,Produces a violet color with ninhydrin,A,6
Chemistry,Which polymer is used for making textiles and ropes?,Polythene,Polypropene,Nylon,Polystyrene,C,7
Chemistry,What is the monomer unit in natural rubber?,Isoprene,Butadiene,Styrene,Chloroethene,A,7
Chemistry,Which compound is used as a solvent for lacquer?,Acetone,Ether,Ethanol,Methanol,A,7
Chemistry,What is the product when an amine reacts with an acid?,Ammonium salt,Amide,Ester,Alcohol,A,2
Chemistry,Which vitamin is fat-soluble?,Vitamin B,Vitamin C,Vitamin A,Vitamin B12,C,7
Chemistry,What is the name of the process where naphtha is converted to gasoline?,Cracking,Reforming,Distillation,Hydrogenation,B,4
Chemistry,Which compound is used in the manufacture of dyes and drugs?,Benzene,Ethane,Ethene,Ethyne,A,7
Chemistry,What is the product when an alkane undergoes complete combustion?,Carbon monoxide and water,Carbon dioxide and water,Carbon and water,Methane and oxygen,B,4
Chemistry,Which carbohydrate is stored in the liver as glycogen?,Glucose,Fructose,Galactose,Sucrose,A,4
Chemistry,What is the test for a double bond in an organic compound?,Turns blue litmus red,Decolorizes bromine water,Forms a silver mirror,Produces a violet color,B,6
Chemistry,Which compound is formed when ethanol is dehydrated with concentrated H2SO4 at 170°C?,Ethene,Ethyne,Ethane,Ethanal,A,4
Chemistry,What is the general molecular formula for alkenes?,CnH2n,CnH2n+2,CnH2n-2,CnH2n-6,A,6
Chemistry,Which reagent is used to test for the presence of a primary alcohol?,Acidified potassium dichromate,Bromine water,Tollens' reagent,Fehling's solution,A,7
Chemistry,What is the product when propanoic acid reacts with ethanol?,Ethyl propanoate,Propyl ethanoate,Methyl propanoate,Propyl methanoate,A,4
Chemistry,Which type of reaction is used to convert an alkene to an alkane?,Hydrogenation,Hydration,Dehydration,Halogenation,A,4
Chemistry,What is the common name for the simplest carboxylic acid?,Acetic acid,Formic acid,Propionic acid,Butyric acid,B,2
Chemistry,Which compound is produced when ethyne is passed through a red-hot iron tube?,Benzene,Ethene,Ethane,Cyclohexane,A,7
Chemistry,What is the functional group present in esters?,-COO-,-COOH,-OH,-CHO,A,6
Chemistry,Which carbohydrate is also known as dextrose?,Fructose,Glucose,Galactose,Sucrose,B,4
Chemistry,What is the product of the reaction between an amine and an acid chloride?,Amide,Amine salt,Ester,Alcohol,A,2
Chemistry,Which polymer is used for making synthetic fibers like polyester?,Polythene,Polypropene,Terylene,Nylon,C,7
Chemistry,What is the test for unsaturation in organic compounds?,Iodine test,Bromine test,Benedict's test,Biuret test,B,7
Chemistry,Which compound is used as a refrigerant and in aerosol propellants?,Chlorofluorocarbons,Hydrocarbons,Alcohols,Ethers,A,7
Chemistry,What is the product when methanol is oxidized with copper catalyst?,Methanal,Methanoic acid,Carbon dioxide,Water,A,4
Chemistry,Which vitamin deficiency causes scurvy?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,C,7
Chemistry,What is the name of the process where an alkane is converted to an alkene?,Dehydrogenation,Hydrogenation,Hydration,Dehydration,A,4
Chemistry,Which compound is used in the manufacture of vinegar?,Methanoic acid,Ethanoic acid,Propanoic acid,Butanoic acid,B,7
Chemistry,What is the product when an aldehyde is oxidized with Tollens' reagent?,Carboxylic acid,Silver mirror,Alcohol,Ketone,B,7
Chemistry,Which carbohydrate is a disaccharide made of glucose and fructose?,Maltose,Sucrose,Lactose,Cellulose,B,4
Chemistry,What is the functional group in amides?,-CONH2,-NH2,-COOH,-OH,A,6
Chemistry,Which compound is used as a solvent for fats and oils?,Water,Ethanol,Chloroform,Benzene,D,7
Chemistry,Which polymer is used for making insulation and packaging materials?,Polystyrene,Polythene,Polyvinyl chloride,Nylon,A,7
Chemistry,Which compound is produced when calcium carbonate is heated?,Calcium oxide and CO2,Calcium hydroxide,Calcium carbide,Calcium chloride,A,8
Chemistry,What is the name of the process where an ester is hydrolyzed with an alkali?,Saponification,Esterification,Neutralization,Hydrogenation,A,4
Chemistry,Which vitamin is also known as tocopherol?,Vitamin A,Vitamin B,Vitamin E,Vitamin K,C,7
Chemistry,What is the product when an alkene reacts with water in the presence of acid?,Alcohol,Aldehyde,Carboxylic acid,Ketone,A,2
Chemistry,Which carbohydrate is used as a storage polysaccharide in plants?,Glycogen,Starch,Cellulose,Chitin,B,4
Chemistry,What is the functional group in ethers?,-O-,-OH,-COOH,-CHO,A,6
Chemistry,Which compound is used in the manufacture of soap?,Sodium hydroxide,Potassium hydroxide,Calcium hydroxide,Ammonium hydroxide,A,7
Chemistry,What is the product when an amine reacts with nitrous acid?,Diazonium salt,Amide,Nitro compound,Alcohol,A,2
Chemistry,Which polymer is used for making non-stick coatings?,Polytetrafluoroethylene,Polystyrene,Polypropene,Nylon,A,7
Chemistry,What is the test for the presence of a phenol group?,Neutral FeCl3 test,Bromine test,Tollens' test,Benedict's test,A,6
Chemistry,Which compound is used as an anesthetic in surgery?,Chloroform,Ether,Ethanol,Methanol,A,7
Chemistry,What is the product when an alkyne undergoes complete combustion?,CO2 and H2O,CO and H2O,CO2 and H2,CO and H2,A,4
Chemistry,Which vitamin is synthesized in the skin on exposure to sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,D,7
Chemistry,What is the name of the process where glucose is converted to pyruvate?,Glycolysis,Fermentation,Respiration,Photosynthesis,A,4
Chemistry,Which compound is used as a preservative in food?,Sodium benzoate,Sodium chloride,Sodium bicarbonate,Sodium hydroxide,A,7
Chemistry,What is the product when an alcohol is oxidized with PCC (pyridinium chlorochromate)?,Aldehyde,Carboxylic acid,Ketone,Alkene,A,7
Chemistry,Which carbohydrate is a structural polysaccharide in plants?,Starch,Cellulose,Glycogen,Chitin,B,4
Chemistry,What is the functional group in alkyl halides?,-X (halogen),-OH,-COOH,-NH2,A,6
Chemistry,Which compound is used in the manufacture of explosives?,Nitroglycerin,Glycerol,Ethanol,Methanol,A,7
Chemistry,What is the product when benzene undergoes nitration?,Nitrobenzene,Chlorobenzene,Bromobenzene,Aminobenzene,A,4
Chemistry,Which polymer is used for making rubber tires?,Natural rubber,Polystyrene,Polytheme,Nylon,A,7
Chemistry,What is the test for the presence of an amino acid?,Ninhydrin test,Biuret test,Benedict's test,Tollens' test,A,2
Chemistry,Which compound is used as a solvent in dry cleaning?,Tetrachloroethene,Ethanol,Water,Benzene,A,7
Chemistry,What is the product when an alkene undergoes ozonolysis?,Carbonyl compounds,Alcohols,Carboxylic acids,Alkanes,A,4
Chemistry,What is the definition of an acid according to the document?,A proton acceptor,A substance that produces hydroxonium ions in aqueous solution,A substance that turns red litmus blue,A compound containing oxygen,B,2
Chemistry,Which of the following is an example of an organic acid?,Hydrochloric acid,Trioxonitrate(V) acid,Ethanoic acid,Tetraoxosulphate(VI) acid,C,2
Chemistry,What is the basicity of tetraoxosulphate(VI) acid?,1,2,3,4,B,8
Chemistry,Which physical property is common to all acids?,They turn red litmus blue,They have a bitter taste,They have a sour taste,They are soapy to touch,C,2
Chemistry,What gas is liberated when acids react with most metals?,Carbon dioxide,Oxygen,Hydrogen,Nitrogen,C,2
Chemistry,Which of the following methods can be used to prepare an acid?,Dissolving a basic oxide in water,Combining a metal with water,Dissolving an acid anhydride in water,Heating a carbonate,C,2
Chemistry,What is the pH of a neutral solution?,0,7,14,It depends on the acid,B,2
Chemistry,Which of the following best describes a base?,A substance that produces hydroxide ions in water,A proton donor,A substance that turns blue litmus red,A substance with a pH less than 7,A,6
Chemistry,Which of the following is a strong base?,Calcium hydroxide,Ammonia solution,Sodium hydroxide,Aluminium hydroxide,C,6
Chemistry,Which type of salt is formed when all replaceable hydrogen ions in an acid are replaced by a metal ion?,Acid salt,Basic salt,Normal salt,Double salt,C,5
Chemistry,What is the general formula for an acid salt?,MCO3,MHCO3,M2CO3,MOH,B,5
Chemistry,Which of the following salts is insoluble in water?,Sodium chloride,Potassium nitrate,Ammonium carbonate,Silver chloride,D,5
Chemistry,What process is used to recover a soluble salt that decomposes on heating?,Evaporation to dryness,Decantation,Crystallization,Filtration,C,5
Chemistry,A hydrated salt is one that:,Does not contain water molecules,Contains water of crystallization,Is always deliquescent,Is efflorescent,B,5
Chemistry,What term describes a substance that absorbs moisture from the air and forms a solution?,Efflorescent,Hygroscopic,Deliquescent,Anhydrous,C,7
Chemistry,Which of the following is a crystalline allotrope of carbon?,Charcoal,Coal,Coke,Diamond,D,6
Chemistry,What property of diamond makes it suitable for use in cutting tools?,It is a good conductor of electricity,It is soft and slippery,It is extremely hard,It has a low density,C,1
Chemistry,Why is graphite a good conductor of electricity?,It has a high density,It contains free delocalized electrons,It is transparent,It has a giant ionic structure,B,1
Chemistry,Which of the following is an amorphous form of carbon?,Graphite,Diamond,Lampblack,Fullerene,C,1
Chemistry,What is the main product when carbon burns in excess oxygen?,Carbon monoxide,Carbon dioxide,Water,Hydrogen gas,B,1
Chemistry,Which gas is produced when carbon reduces copper(II) oxide?,Carbon dioxide,Carbon monoxide,Oxygen gas,Hydrogen gas,A,1
Chemistry,How is carbon(IV) oxide typically prepared in the laboratory?,Heating potassium trioxocarbonate(IV),Action of dilute acid on a trioxocarbonate(IV),Heating carbon in air,Burning methane,B,1
Chemistry,Which method is used to collect carbon(IV) oxide gas?,Upward delivery,Downward delivery,Over water,Using a gas syringe,B,1
Chemistry,What is observed when carbon(IV) oxide is bubbled through lime water?,The lime water turns blue,The lime water turns milky,The lime water turns red,The lime water becomes warm,B,1
Chemistry,What is the main use of carbon(IV) oxide in fire extinguishers?,It is flammable,It supports combustion,It is denser than air and does not support combustion,It has a pleasant smell,C,1
Chemistry,How is carbon(II) oxide prepared from methanoic acid?,By dehydration with concentrated H2SO4,By reaction with water,By heating with limestone,By fermentation,A,1
Chemistry,Why is carbon(II) oxide considered dangerous?,It is flammable,It has a pleasant smell,It is poisonous and combines irreversibly with haemoglobin,It is a strong acid,C,1
Chemistry,Which of the following is a use of carbon(II) oxide?,In fire extinguishers,In the extraction of metals,In carbonated drinks,As a refrigerant,B,1
Chemistry,What is the highest grade of coal with the highest carbon content?,Peat,Lignite,Bituminous,Anthracite,D,0
Chemistry,What process is used to obtain various products from coal by heating in the absence of air?,Distillation,Cracking,Destructive distillation,Fractional distillation,C,0
Chemistry,Which of the following is NOT a product of the destructive distillation of coal?,Coal gas,Ammoniacal liquor,Coal tar,Oxygen,D,0
Chemistry,What is the primary use of coke?,As a fuel and reducing agent in metal extraction,In making jewelry,As a fertilizer,In the food industry,A,1
Chemistry,What is producer gas a mixture of?,Carbon monoxide and hydrogen,Carbon monoxide and nitrogen,Methane and hydrogen,Carbon dioxide and nitrogen,B,0
Chemistry,How is water gas produced?,Passing air over red-hot coke,Passing steam over white-hot coke,Heating coal,Distilling crude oil,B,0
Chemistry,What is the main difference between producer gas and water gas?,Producer gas has a higher calorific value,Water gas has a higher calorific value,Producer gas is a mixture of CO and H2,Water gas is a mixture of CO and N2,B,0
Chemistry,What is the chemical formula for trioxocarbonate(IV) acid?,H2CO3,H2CO2,HCO3,H3CO3,A,8
Chemistry,How are soluble trioxocarbonates(IV) like Na2CO3 prepared?,By precipitation,By bubbling CO2 through the corresponding alkali,By direct combination of elements,By heating the metal,B,8
Chemistry,What is the test for a trioxocarbonate(IV) ion?,It turns lime water milky,It gives a white precipitate with silver nitrate,It liberates ammonia when heated,It decolorizes bromine water,A,8
Chemistry,What is the primary source of aliphatic hydrocarbons?,Coal,Natural gas and petroleum,Plants and animals,The atmosphere,B,0
Chemistry,What process is used to separate crude oil into fractions?,Cracking,Reforming,Polymerization,Fractional distillation,D,4
Chemistry,Which petroleum fraction is used as fuel for jet engines?,Petroleum gas,Petrol,Kerosene,Lubricating oil,C,0
Chemistry,What is the purpose of cracking in the petroleum industry?,To separate different fractions,To break down large hydrocarbons into smaller ones,To remove impurities,To combine small hydrocarbons into larger ones,B,3
Chemistry,What is a petrochemical?,A chemical derived from plants,A chemical derived from petroleum,A type of fuel,A type of metal ore,B,3
Chemistry,Which of the following is a heavy chemical?,A perfume,A drug,Sulphuric acid,A pesticide,C,7
Chemistry,What is the primary raw material for the plastic industry?,Coal,Natural gas,Ethene from petroleum,Sodium chloride,C,3
Chemistry,Which industry produces substances like NH4NO3 and urea?,Paint industry,Fertilizer industry,Pharmaceutical industry,Cement industry,B,3
Chemistry,What is the main component of natural gas?,Ethane,Propane,Methane,Butane,C,0
Chemistry,Which of the following is a fine chemical?,Sodium hydroxide,Sulphuric acid,A laboratory reagent,Ammonia,C,7
Chemistry,What is the primary source of organic acids?,Mineral elements,Plants and animal materials,Inorganic matter,Synthetic processes,B,2
Chemistry,Which of the following acids is monobasic?,H2SO4,H3PO4,HNO3,H2CO3,C,2
Chemistry,Which of the following is a property of alkalis?,They turn red litmus blue,They have a sour taste,They are corrosive to skin,They produce H+ ions in water,A,2
Chemistry,Which type of salt contains water molecules loosely attached to its structure?,Anhydrous salt,Efflorescent salt,Deliquescent salt,Hydrated salt,D,5
Chemistry,What is the process called when a hydrated salt loses its water of crystallization on exposure to air?,Deliquescence,Efflorescence,Hygroscopy,Hydrolysis,B,5
Chemistry,Which of the following is a use of calcium trioxocarbonate(IV)?,As a fuel,In making cement,As a drying agent,In fire extinguishers,B,8
Chemistry,What is the main reason graphite is used as a lubricant?,It has a high density,It is a good conductor,Its layers can slide over each other,It is very hard,C,1
Chemistry,Which of the following statements about diamond is correct?,It conducts electricity,It has a low melting point,It is the hardest natural substance,It is soft and slippery,C,1
Chemistry,What is produced when carbon reduces iron(III) oxide?,Iron and carbon dioxide,Iron and carbon monoxide,Iron and water,Iron and oxygen,B,1
Chemistry,Which gas is used in fire extinguishers because it does not support combustion?,Carbon(II) oxide,Producer gas,Carbon(IV) oxide,Water gas,C,0
Chemistry,What is the chemical test for carbon(IV) oxide?,It turns lime water milky,It burns with a pop sound,It decolorizes bromine water,It turns cobalt chloride paper pink,A,1
Chemistry,Why is carbon(II) oxide dangerous to humans?,It supports combustion,It is highly flammable,It combines with haemoglobin in blood,It has a strong odor,C,1
Chemistry,Which type of coal has the highest carbon content?,Peat,Lignite,Bituminous,Anthracite,D,0
Chemistry,What is the liquid product obtained from destructive distillation of coal?,Coal gas,Ammoniacal liquor,Coke,Producer gas,B,0
Chemistry,Which fuel gas is a mixture of carbon monoxide and nitrogen?,Water gas,Producer gas,Natural gas,Coal gas,B,0
Chemistry,What is the main component of natural gas?,Ethane,Propane,Methane,Butane,C,0
Chemistry,Which process increases the octane rating of petrol?,Cracking,Reforming,Fractional distillation,Destructive distillation,B,0
Chemistry,What is the octane number of n-heptane?,0,50,100,25,A,6
Chemistry,Which industry produces substances like paints and dyes?,Fertilizer industry,Pharmaceutical industry,Paint industry,Plastic industry,C,3
Chemistry,What is the primary raw material for the manufacture of cement?,Clay and limestone,Coal and water,Petroleum and air,Sand and salt,A,3
Chemistry,Which of the following is a fine chemical?,Sulphuric acid,Sodium hydroxide,A laboratory reagent,Ammonia gas,C,7
Chemistry,What is the main use of fertilizers?,To cure diseases,To increase agricultural production,As building materials,As fuel additives,B,3
Chemistry,Which substance is used as an electrolyte in lead-acid accumulators?,Hydrochloric acid,Sulphuric acid,Nitric acid,Ethanoic acid,B,2
Chemistry,What is the pH range of an alkaline solution?,0-6,7,8-14,1-14,C,2
Chemistry,Which salt is used as a laxative in medicine?,Sodium chloride,Calcium carbonate,Magnesium sulphate,Ammonium chloride,C,5
Chemistry,Which of the following is an example of a complex salt?,Sodium chloride,Potassium alum,Calcium carbonate,Ammonium nitrate,B,5
Chemistry,What is the chemical formula for ammoniacal liquor?,NH4Cl,NH4OH,NH3,H2O,B,6
Chemistry,Which petroleum fraction is used in making candles and polishes?,Petrol,Kerosene,Lubricating oil,Bitumen,C,7
Chemistry,What is the process of breaking down large hydrocarbon molecules into smaller ones called?,Reforming,Polymerization,Cracking,Fractional distillation,C,4
Chemistry,Which element is added to petrol to prevent knocking?,Lead tetraethyl,Sodium chloride,Calcium carbonate,Ammonia gas,A,0
Chemistry,What is the primary raw material for the plastic industry?,Coal,Natural gas,Ethene,Water,C,3
Chemistry,Which industry produces drugs and medicines?,Fertilizer industry,Pharmaceutical industry,Paint industry,Cement industry,B,3
Chemistry,What is the main component of coal gas?,Methane and hydrogen,Carbon monoxide and nitrogen,Carbon dioxide and oxygen,Hydrogen and oxygen,A,0
Chemistry,Which of the following is a property of acids?,They turn blue litmus red,They feel soapy,They have a bitter taste,They are insoluble in water,A,2
Chemistry,What is the basicity of ethanoic acid?,1,2,3,4,A,2
Chemistry,Which gas is produced when acids react with trioxocarbonates(IV)?,Hydrogen,Oxygen,Carbon dioxide,Nitrogen,C,8
Chemistry,What is the pH of a solution with hydrogen ion concentration of 1×10⁻¹¹ mol/dm³?,1,3,11,13,C,8
Chemistry,Which of the following is a strong base?,Ammonia solution,Calcium hydroxide,Sodium hydroxide,Aluminium hydroxide,C,6
Chemistry,What is the product of neutralization between HCl and NaOH?,NaCl and H2O,NaCl and H2,NaOH and Cl2,Na and ClOH,A,2
Chemistry,Which salt is insoluble in water?,Sodium nitrate,Potassium chloride,Silver chloride,Ammonium carbonate,C,5
Chemistry,What is the term for substances that absorb moisture from air without dissolving?,Efflorescent,Deliquescent,Hygroscopic,Anhydrous,C,7
Chemistry,Which allotrope of carbon is used in pencils?,Diamond,Graphite,Charcoal,Coke,B,1
Chemistry,What is the main use of carbon(IV) oxide in the food industry?,As a fuel,As a refrigerant,In carbonated drinks,In making explosives,C,1
Chemistry,Which type of cracking uses a catalyst?,Thermal cracking,Catalytic cracking,Steam cracking,Fractional cracking,B,4
Chemistry,What is the primary raw material for the fertilizer industry?,Petroleum,Coal,Ammonia,Graphite,C,3
Chemistry,Which chemical industry produces items like PVC pipes?,Plastic industry,Pharmaceutical industry,Paint industry,Fertilizer industry,A,3
Chemistry,What is the chemical formula for tetraoxosulphate(VI) acid?,H2SO3,H2SO4,HNO3,HCl,B,8
Chemistry,Which of the following is a characteristic of a concentrated acid?,It contains a large amount of water,It contains a small amount of water,It has a low concentration of H+ ions,It turns blue litmus red,B,2
Chemistry,What is the basicity of an acid that has three replaceable hydrogen ions?,1,2,3,4,C,2
Chemistry,Which of the following turns blue litmus paper red?,Sodium hydroxide solution,Calcium hydroxide solution,Ethanoic acid solution,Ammonia solution,C,7
Chemistry,What gas is produced when dilute hydrochloric acid reacts with zinc?,Chlorine,Oxygen,Hydrogen,Nitrogen,C,2
Chemistry,Which method of acid preparation involves dissolving an acid anhydride in water?,Combination of elements,Displacement from salts,Using an acid anhydride,Precipitation,C,2
Chemistry,What is the pH of a solution with a hydrogen ion concentration of 1×10⁻⁵ mol/dm³?,5,9,7,14,A,8
Chemistry,Which of the following is a weak base?,Sodium hydroxide,Potassium hydroxide,Calcium oxide,Ammonia solution,D,6
Chemistry,What is the product when magnesium oxide reacts with nitric acid?,Magnesium nitrate and water,Magnesium nitride and oxygen,Magnesium and nitrogen,Magnesium hydroxide and nitrite,A,2
Chemistry,Which type of salt turns red litmus blue?,Normal salt,Acid salt,Basic salt,Double salt,C,5
Chemistry,What is the solubility rule for all sodium salts?,They are insoluble,They are soluble,They are slightly soluble,They decompose in water,B,5
Chemistry,Which salt is used as a drying agent for gases?,Sodium chloride,Calcium chloride,Silver chloride,Lead chloride,B,5
Chemistry,What is the process of converting a soluble salt to crystals called?,Evaporation,Decantation,Crystallization,Filtration,C,5
Chemistry,Which of the following is an example of a hydrated salt?,NaCl,KNO3,CuSO4·5H2O,AgNO3,C,5
Chemistry,What term describes sodium trioxocarbonate(IV) decahydrate when it loses water on exposure to air?,Deliquescence,Efflorescence,Hygroscopy,Hydrolysis,B,8
Chemistry,Which allotrope of carbon has a tetrahedral structure?,Graphite,Diamond,Charcoal,Lampblack,B,6
Chemistry,Why is graphite used in nuclear reactors?,It is a good lubricant,It is a good conductor,It slows down neutrons,It is transparent,C,1
Chemistry,What is the main impurity in coal?,Oxygen,Nitrogen,Sulphur,Hydrogen,C,0
Chemistry,Which form of carbon is used in gas masks to absorb poisonous gases?,Diamond,Graphite,Charcoal,Coke,C,1
Chemistry,What is the product when carbon burns in a limited supply of air?,Carbon dioxide,Carbon monoxide,Water,Hydrogen gas,B,1
Chemistry,How is carbon(IV) oxide commercially produced as a by-product?,From fermentation,From burning coal,From cracking petroleum,From electrolysis,A,1
Chemistry,What is observed when excess CO2 is bubbled through lime water?,Permanent milkyness,The milkiness disappears,A yellow precipitate,No change,B,1
Chemistry,Which gas is produced by the dehydration of methanoic acid?,CO2,CO,H2,CH4,B,4
Chemistry,What is the main use of producer gas?,In chemical synthesis,As a fuel in furnaces,In carbonated drinks,As an anesthetic,B,0
Chemistry,Which type of coal has the lowest carbon content?,Anthracite,Bituminous,Lignite,Peat,D,0
Chemistry,What is the solid residue left after destructive distillation of coal?,Coal tar,Coal gas,Ammoniacal liquor,Coke,D,0
Chemistry,Which fuel gas has the highest calorific value?,Producer gas,Water gas,Coal gas,Natural gas,B,0
Chemistry,What is the chemical formula for trioxocarbonate(IV) ion?,CO3²⁻,HCO3⁻,CO2,H2CO3,A,8
