English,In reading comprehension, the first thing to do is to _____.,read the passage carefully,memorize it,copy it,skip it,A
English,The best way to improve reading comprehension is to _____.,practice regularly,read once,avoid questions,read fast only,A
English,The opposite of active listening is _____.,passive listening,fast listening,deep listening,focused listening,A
English,Effective readers often _____.,take notes and summarize,skip details,read aloud always,avoid punctuation,A
English,The author’s purpose in a passage could be to _____.,inform,entertain,persuade,all of the above,D
English,Reading aloud helps to improve _____.,pronunciation and confidence,writing speed,listening skills,reading silently,A
English,When summarizing, irrelevant information should be _____.,added,removed,highlighted,ignored,B
English,One good habit of an effective listener is _____.,interrupting,maintaining eye contact,thinking of other things,speaking over others,B
English,To interpret a message correctly, a listener must _____.,pay full attention,ignore tone,focus on self,guess often,A
English,In comprehension, factual questions require _____.,recall of exact details,opinions,imaginations,grammar rules,A
English,The word *skim* in reading means to _____.,read quickly for main idea,read aloud slowly,memorize lines,find details,A
Physics,Electromagnetic waves are fundamentally classified as what type of waves?,Longitudinal waves,Stationary waves,Transverse waves,Sound waves,C
Physics,Which segment of the electromagnetic spectrum is characterized by having the longest wavelengths?,Gamma rays,Ultraviolet rays,Radio waves,X-rays,C
English,Essay writing is also known as _____.,composition,summary,letter,dialogue,A
English,The main purpose of essay writing is to _____.,express ideas,copy others,memorize text,translate,A
English,The opening paragraph of an essay is called the _____.,introduction,body,conclusion,summary,A
English,The last paragraph of an essay is called the _____.,ending,summary,conclusion,body,C
English,The main part of an essay that develops the ideas is the _____.,body,heading,introduction,summary,A
English,A good essay must have _____.,clear structure,unclear ideas,random thoughts,short sentences,A
English,The features of a good essay include _____.,clarity,coherence,unity,all of the above,D
English,The type of essay that tells a story is a _____ essay.,narrative,descriptive,expository,argumentative,A
English,The type of essay that describes something is called a _____ essay.,narrative,descriptive,argumentative,expository,B
English,An essay that explains how or why something happens is _____.,expository,argumentative,narrative,letter,A
English,An essay that tries to convince readers is a _____ essay.,narrative,argumentative,descriptive,expository,B
English,In an argumentative essay, you must present _____.,facts and opinions,stories only,descriptions only,dialogues,A
English,An informal letter is written to _____.,friends or relatives,government officials,editors,business partners,A
English,A formal letter is written to _____.,friends,relatives,officials,peers,C
English,An official letter should begin with _____.,Dear Sir/Madam,Hello friend,Hi there,Hey you,A
English,The address of the writer in a formal letter is written _____.,at the top right corner,at the bottom,at the center,anywhere,A
English,The date in a formal letter comes _____ the writer’s address.,before,after,below,beside,B
English,The salutation in a friendly letter is written as _____.,Dear Tolu,Dear Sir,Respected Madam,To Whom It May Concern,A
English,The closing of a formal letter is usually _____.,Yours faithfully,Yours sincerely,Best regards,From your friend,A
English,The closing of an informal letter is usually _____.,Yours sincerely,Yours faithfully,Your loving friend,Yours obediently,C
English,The subject of a formal letter should be written _____.,in capital letters,at the end,in small letters,nowhere,A
English,In a friendly letter, you can use _____ language.,formal,informal,official,technical,B
English,In letter writing, the part that shows gratitude is the _____.,complimentary close,body,heading,signature,B
English,A report writing must include _____.,title,content,date,all of the above,D
English,The first paragraph of a report should state _____.,the purpose of the report,the writer’s name,an opinion,a question,A
English,In an article writing, the writer’s name appears _____.,below the title,above the title,at the end,nowhere,A
English,The title of an essay should be _____.,short and clear,very long,irrelevant,complex,A
English,A descriptive essay mainly focuses on _____.,the senses and details,facts and arguments,opinions only,statistics,A
English,An argumentative essay must include _____.,points for and against,poems,stories,dialogues,A
English,A good paragraph should have a _____.,topic sentence,conclusion only,random idea,title only,A
English,The word *composition* means _____.,putting ideas together,reading stories,copying from text,memorizing,A
English,The tone of a formal letter should be _____.,respectful,rude,emotional,joking,A
English,The tone of an informal letter should be _____.,friendly,official,strict,technical,A
English,A story essay should have _____.,a beginning, middle and end,only a beginning,a conclusion only,a title only,A
English,The use of paragraphs in essays helps to _____.,organize ideas,confuse readers,make it longer,add decoration,A
English,The phrase “Yours faithfully” is used when _____.,you don’t know the name of the person,you know the person,writing to a friend,writing an article,A
English,The phrase “Yours sincerely” is used when _____.,you know the name of the person,writing to strangers,writing reports,writing to editors,A
English,The body of a formal letter should be written in _____ paragraphs.,two or more,one,none,five,A
English,A story must be written in _____ order.,chronological,reverse,random,mixed,A
English,The title of a formal letter should be _____.,underlined,hidden,italicized,omitted,A
English,A narrative essay should contain _____.,characters,setting,plot,all of the above,D
English,An article is written mainly to _____.,inform or educate,chat with friends,entertain personally,advertise only,A
English,A good report should be _____.,clear and factual,opinionated,short and unclear,too emotional,A
English,In a debate, the speaker must _____.,argue for or against a motion,read a poem,write an essay,act a play,A
English,A good speech should begin with _____.,a greeting and introduction,conclusion,examples only,a poem,A
English,Minutes of meeting usually include _____.,date,time,decisions,all of the above,D
English,Formal speeches are usually delivered to _____.,an audience,one person,friends only,teachers only,A
English,In an article, the paragraph that summarizes the discussion is the _____.,conclusion,body,introduction,heading,A
English,A short piece of writing about current issues in newspapers is called a _____.,article,story,poem,report,A
English,One feature of a good composition is _____.,unity of ideas,confusion,verbosity,irrelevance,A
English,In essay writing, coherence means _____.,ideas flow logically,ideas are scattered,words are long,spelling is perfect,A
English,A debate topic is always presented as a _____.,motion,poem,title,question,A
English,A letter to the editor belongs to the _____ type of writing.,formal,informal,friendly,descriptive,A
English,The abbreviation “P.S.” at the end of a letter stands for _____.,postscript,personal statement,public speech,paragraph summary,A
Chemistry,What is the product when ethanoic acid reacts with phosphorus pentachloride?,Ethanoyl chloride,Ethanol,Ethene,Ethane,A
Chemistry,Which compound is produced when ethanol is oxidized with acidified potassium dichromate?,Ethanal,Ethanoic acid,Ethene,Ethane,B
Chemistry,What is the general formula for cycloalkanes?,CnH2n,CnH2n-2,CnH2n+2,CnH2n-6,A
Chemistry,Which of these is a characteristic of benzene?,It readily undergoes addition reactions,It burns with a non-sooty flame,It has a structure with alternating double bonds,It is saturated hydrocarbon,C
Chemistry,What is the name of the process where alkanes are broken down into smaller molecules?,Polymerization,Cracking,Reforming,Hydrogenation,B
Chemistry,Which alcohol is poisonous and can cause blindness?,Ethanol,Propanol,Methanol,Butanol,C
Chemistry,What is the functional group in a ketone?,–CHO,–COOH,–OH,–CO–,D
Chemistry,Which compound is used as a preservative for biological specimens?,Methanol,Ethanol,Ethanoic acid,Formalin,D
Chemistry,What is the product of the reaction between an alkanol and an alkanoic acid?,Ester,Ether,Aldehyde,Ketone,A
Chemistry,Which gas is produced when ethanol reacts with sodium?,Hydrogen,Oxygen,Carbon dioxide,Chlorine,A
Chemistry,What is the test for a carbonyl group in an aldehyde?,Turns blue litmus red,Forms a silver mirror with Tollens' reagent,Decolorizes bromine water,Produces a violet color with FeCl3,B
Chemistry,Which polymer is used for making bottles and containers?,Polystyrene,Polythene,Polyvinyl chloride,Nylon,B
Chemistry,What is the monomer unit in PVC?,Ethene,Chloroethene,Ethyne,Propene,B
Chemistry,Which carbohydrate gives a blue-black color with iodine solution?,Glucose,Sucrose,Starch,Cellulose,C
Chemistry,What is the product of the complete hydrolysis of proteins?,Fatty acids,Amino acids,Monosaccharides,Glycerol,B
Chemistry,Which type of isomerism is possible in alkenes but not in alkanes?,Chain isomerism,Positional isomerism,Geometric isomerism,Functional isomerism,C
Chemistry,What is the common name for 2-methylpropan-2-ol?,n-butanol,Isobutanol,tert-butanol,Sec-butanol,C
Chemistry,Which compound is used in the manufacture of dynamite?,Benzene,Toluene,Glycerol,Phenol,C
Chemistry,What is the product when ethene reacts with steam in the presence of a catalyst?,Ethanol,Ethanal,Ethanoic acid,Ethane,A
Chemistry,Which reagent is used to convert an aldehyde to a primary alcohol?,Acidified K2Cr2O7,Lithium aluminium hydride,Bromine water,Fehling's solution,B
Chemistry,What is the name of the reaction where an ester is formed from an acid and an alcohol?,Esterification,Saponification,Hydrolysis,Hydrogenation,A
Chemistry,Which compound is responsible for the smell of oranges?,Esters,Amines,Amides,Carboxylic acids,A
Chemistry,What is the general formula for ethers?,ROR',ROH,RCOOH,RNH2,A
Chemistry,Which fuel has the highest octane number?,Diesel,Kerosene,Petroleum,CNG,C
Chemistry,What is the product when calcium carbide reacts with water?,Ethene,Ethyne,Methane,Ethanol,B
Chemistry,Which compound is used as an antifreeze?,Methanol,Ethanol,Glycerol,Ethylene glycol,D
Chemistry,What is the name of the process where glucose is converted to ethanol and CO2?,Photosynthesis,Fermentation,Respiration,Distillation,B
Chemistry,Which vitamin is also known as ascorbic acid?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,C
Chemistry,What is the functional group in a carboxylic acid?,–OH,–CHO,–COOH,–CO–,C
Chemistry,Which compound is used in making smokeless gunpowder?,Cellulose nitrate,Cellulose acetate,Polytheme,Nylon,A
Chemistry,What is the product when an alkene reacts with hydrogen in the presence of nickel?,Alkane,Alkyne,Alcohol,Aldehyde,A
Chemistry,Which gas is used for ripening fruits artificially?,Ethene,Ethyne,Methane,Carbon dioxide,A
Chemistry,What is the name of the process where oils are converted to fats?,Hydrogenation,Saponification,Polymerization,Esterification,A
Chemistry,Which compound is used in the manufacture of bakelite?,Formaldehyde,Acetaldehyde,Acetone,Formic acid,A
Chemistry,What is the product when an aldehyde is reduced?,Primary alcohol,Secondary alcohol,Carboxylic acid,Ketone,A
Chemistry,Which carbohydrate is also known as fruit sugar?,Glucose,Fructose,Galactose,Sucrose,B
Chemistry,What is the test for an amino group?,Turns red litmus blue,Forms a precipitate with AgNO3,Decolorizes bromine water,Produces a violet color with ninhydrin,A
Chemistry,Which polymer is used for making textiles and ropes?,Polythene,Polypropene,Nylon,Polystyrene,C
Chemistry,What is the monomer unit in natural rubber?,Isoprene,Butadiene,Styrene,Chloroethene,A
Chemistry,Which compound is used as a solvent for lacquer?,Acetone,Ether,Ethanol,Methanol,A
Chemistry,What is the product when an amine reacts with an acid?,Ammonium salt,Amide,Ester,Alcohol,A
Chemistry,Which vitamin is fat-soluble?,Vitamin B,Vitamin C,Vitamin A,Vitamin B12,C
Chemistry,What is the name of the process where naphtha is converted to gasoline?,Cracking,Reforming,Distillation,Hydrogenation,B
Chemistry,Which compound is used in the manufacture of dyes and drugs?,Benzene,Ethane,Ethene,Ethyne,A
Chemistry,What is the product when an alkane undergoes complete combustion?,Carbon monoxide and water,Carbon dioxide and water,Carbon and water,Methane and oxygen,B
Chemistry,Which carbohydrate is stored in the liver as glycogen?,Glucose,Fructose,Galactose,Sucrose,A
Chemistry,What is the test for a double bond in an organic compound?,Turns blue litmus red,Decolorizes bromine water,Forms a silver mirror,Produces a violet color,B
English,The word *vocabulary* refers to _____.,a person’s knowledge of words,grammar rules,essay writing,story telling,A
English,The process of forming new words from existing ones is called _____.,word formation,conjugation,inflection,translation,A
English,The word *careless* is formed by adding the suffix _____ to *care*.,-ful,-less,-ness,-ly,B
English,The word *unhappy* is formed by adding the prefix _____ to *happy*.,dis-,un-,mis-,in-,B
English,The word *teacher* is formed from *teach* by adding the suffix _____.,-ness,-er,-ful,-tion,B
English,The word *darkness* is formed from *dark* by adding the suffix _____.,-ly,-ness,-ful,-able,B
English,The word *quickly* is formed from *quick* by adding the suffix _____.,-er,-ly,-ness,-ful,B
English,The word *impossible* is formed by adding the prefix _____ to *possible*.,dis-,un-,in-,im-,D
English,The prefix *dis-* usually means _____.,not,again,without,very,A
English,The suffix *-ness* usually changes an adjective into a _____.,noun,verb,adverb,preposition,A
English,The prefix *re-* means _____.,again,not,opposite,too much,A
English,The word *rewrite* means _____.,to write again,to cancel,to write wrongly,to write less,A
English,The prefix *pre-* means _____.,before,after,around,within,A
English,The suffix *-ment* forms a _____.,verb,noun,adverb,adjective,B
English,The word *development* is a _____.,verb,noun,adverb,adjective,B
English,The word *beautiful* is a _____.,noun,adjective,adverb,verb,B
English,The adverb form of *quick* is _____.,quickly,quicker,quickest,quickness,A
English,The adjective form of *danger* is _____.,dangerous,dangerously,endanger,dangered,A
English,The noun form of *decide* is _____.,decision,deciding,decided,decisive,A
English,The adjective form of *create* is _____.,creation,creative,creatively,creator,B
English,The adjective form of *hope* is _____.,hopeful,hopeless,hopefully,hoping,A
English,The adverb form of *sad* is _____.,sadness,sadly,sadder,saddened,B
English,The noun form of *strong* is _____.,strength,strongly,strongness,stronger,A
English,The adjective form of *beauty* is _____.,beautiful,beautify,beautifully,beautified,A
English,The adverb form of *polite* is _____.,politely,politeness,politer,polity,A
English,The word *employment* comes from the verb _____.,employ,employee,employer,employment,A
English,The word *happiness* is derived from the adjective _____.,happy,happily,happier,happiness,A
English,The opposite of *legal* is _____.,illegal,dislegal,unlegal,nonlegal,A
English,The opposite of *possible* is _____.,impossible,nonpossible,unpossible,dispossible,A
English,The word *irregular* means _____.,not regular,too regular,more regular,regular,A
English,The word *careful* means _____.,full of care,without care,lack of care,careless,A
English,The word *careless* means _____.,without care,full of care,very caring,careful,A
English,The word *readable* means _____.,easy to read,hard to read,not written,being read,A
English,The prefix *anti-* means _____.,before,against,with,after,B
English,The prefix *auto-* means _____.,self,other,half,below,A
English,The prefix *bi-* means _____.,two,three,one,four,A
English,The prefix *tri-* means _____.,three,two,four,five,A
English,The word *childhood* is formed by adding the suffix _____.,-hood,-ship,-ment,-ness,A
English,The word *friendship* is formed by adding the suffix _____.,-hood,-ship,-ness,-able,B
English,The word *agreement* is formed by adding the suffix _____.,-tion,-ment,-ness,-er,B
English,The word *movement* is a _____.,noun,verb,adverb,adjective,A
English,The noun form of *advise* is _____.,advice,adviser,advising,advised,A
English,The verb form of *advice* is _____.,advise,adviser,advising,advised,A
English,The noun form of *arrive* is _____.,arrival,arriver,arriving,arrived,A
English,The adjective form of *fame* is _____.,famous,fameful,famed,fameless,A
English,The noun form of *choose* is _____.,choice,chooser,choosing,chosen,A
English,The adjective form of *sun* is _____.,sunny,sunned,sunning,sunlighted,A
English,The noun form of *strong* is _____.,strength,strongly,strongness,stronger,A
English,The adjective form of *danger* is _____.,dangerous,dangerously,endangered,dangered,A
English,The adjective form of *anger* is _____.,angry,angered,angrily,angerful,A
English,The noun form of *know* is _____.,knowledge,knowing,known,knower,A
English,The adjective form of *fool* is _____.,foolish,fooly,fooled,fooling,A
English,The noun form of *wise* is _____.,wisdom,wise,wisehood,wiseness,A
English,The adverb form of *careful* is _____.,carefully,careful,carelessly,carefuler,A
English,The adverb form of *quiet* is _____.,quietly,quietness,quieter,quieted,A
English,The adjective form of *use* is _____.,useful,used,useless,using,A
English,The adjective form of *noise* is _____.,noisy,noiseful,noiseless,noisehood,A
English,The noun form of *fail* is _____.,failure,failing,failed,failness,A
English,The word *builder* is formed from the verb _____.,build,built,building,builded,A
English,The word *singer* is formed from the verb _____.,sing,sang,sung,singing,A
English,The word *librarian* is formed from the noun _____.,library,liberation,liberty,librarium,A
English,The word *childish* means _____.,like a child,very mature,young person,childlike,A
English,The word *painful* means _____.,causing pain,without pain,full of joy,avoiding pain,A
English,The word *colourless* means _____.,without colour,full of colour,bright colour,painted,A
English,The prefix *sub-* means _____.,below,above,across,inside,A
English,The word *cooperate* means _____.,work together,work alone,work against,work slowly,A
English,The word *interact* means _____.,communicate with others,act alone,read together,sleep early,A
English,The word *preview* means _____.,see before,see after,view again,see clearly,A
English,The word *overcome* means _____.,succeed over,fail before,come early,finish work,A
English,The word *postpone* means _____.,delay,advance,start early,replace,A
English,The prefix *mis-* means _____.,wrongly,again,not,too much,A
English,The word *misunderstand* means _____.,understand wrongly,understand clearly,explain well,ignore meaning,A
English,The prefix *non-* means _____.,not,against,within,over,A
English,The suffix *-able* means _____.,capable of,full of,without,opposite of,A
English,The word *readable* means _____.,able to be read,unable to read,hard to read,not written,A
English,The suffix *-ist* refers to _____.,a person who practices something,an event,a place,a thing,A
English,The word *pianist* means _____.,a person who plays the piano,a piano maker,a piano shop,a song writer,A
English,The suffix *-tion* forms a _____.,noun,verb,adverb,adjective,A
English,The word *information* comes from the verb _____.,inform,informant,informer,informing,A
English,The word *education* comes from the verb _____.,educate,educator,educational,educating,A
English,The word *construction* comes from the verb _____.,construct,constructor,constructing,constructed,A
English,The word *creation* comes from the verb _____.,create,creator,creative,creating,A
English,The prefix *over-* means _____.,too much,too little,inside,before,A
English,The prefix *under-* means _____.,below,above,inside,beyond,A
English,The suffix *-ful* means _____.,full of,without,against,opposite of,A
English,The suffix *-less* means _____.,without,with,inside,around,A
English,The word *helpless* means _____.,without help,with help,helping,helpful,A
English,The word *helpful* means _____.,ready to help,without help,not kind,not caring,A
English,The word *endless* means _____.,without end,with an end,at the end,ending soon,A
Chemistry,Which compound is formed when ethanol is dehydrated with concentrated H2SO4 at 170°C?,Ethene,Ethyne,Ethane,Ethanal,A
Chemistry,What is the general molecular formula for alkenes?,CnH2n,CnH2n+2,CnH2n-2,CnH2n-6,A
Chemistry,Which reagent is used to test for the presence of a primary alcohol?,Acidified potassium dichromate,Bromine water,Tollens' reagent,Fehling's solution,A
Chemistry,What is the product when propanoic acid reacts with ethanol?,Ethyl propanoate,Propyl ethanoate,Methyl propanoate,Propyl methanoate,A
Chemistry,Which type of reaction is used to convert an alkene to an alkane?,Hydrogenation,Hydration,Dehydration,Halogenation,A
Chemistry,What is the common name for the simplest carboxylic acid?,Acetic acid,Formic acid,Propionic acid,Butyric acid,B
Chemistry,Which compound is produced when ethyne is passed through a red-hot iron tube?,Benzene,Ethene,Ethane,Cyclohexane,A
Chemistry,What is the functional group present in esters?,-COO-,-COOH,-OH,-CHO,A
Chemistry,Which carbohydrate is also known as dextrose?,Fructose,Glucose,Galactose,Sucrose,B
Chemistry,What is the product of the reaction between an amine and an acid chloride?,Amide,Amine salt,Ester,Alcohol,A
Chemistry,Which polymer is used for making synthetic fibers like polyester?,Polythene,Polypropene,Terylene,Nylon,C
Chemistry,What is the test for unsaturation in organic compounds?,Iodine test,Bromine test,Benedict's test,Biuret test,B
Chemistry,Which compound is used as a refrigerant and in aerosol propellants?,Chlorofluorocarbons,Hydrocarbons,Alcohols,Ethers,A
Chemistry,What is the product when methanol is oxidized with copper catalyst?,Methanal,Methanoic acid,Carbon dioxide,Water,A
Chemistry,Which vitamin deficiency causes scurvy?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,C
Chemistry,What is the name of the process where an alkane is converted to an alkene?,Dehydrogenation,Hydrogenation,Hydration,Dehydration,A
Chemistry,Which compound is used in the manufacture of vinegar?,Methanoic acid,Ethanoic acid,Propanoic acid,Butanoic acid,B
Chemistry,What is the product when an aldehyde is oxidized with Tollens' reagent?,Carboxylic acid,Silver mirror,Alcohol,Ketone,B
Chemistry,Which carbohydrate is a disaccharide made of glucose and fructose?,Maltose,Sucrose,Lactose,Cellulose,B
Chemistry,What is the functional group in amides?,-CONH2,-NH2,-COOH,-OH,A
Chemistry,Which compound is used as a solvent for fats and oils?,Water,Ethanol,Chloroform,Benzene,D
Chemistry,What is the product when ethene reacts with hydrogen bromide?,Bromoethane,1,2-dibromoethane,Dibromomethane,Bromomethane,A
Chemistry,Which polymer is used for making insulation and packaging materials?,Polystyrene,Polythene,Polyvinyl chloride,Nylon,A
Chemistry,What is the test for the presence of a carbonyl group in ketones?,Tollens' test,Fehling's test,Benedict's test,2,4-DNP test,D
Chemistry,Which compound is produced when calcium carbonate is heated?,Calcium oxide and CO2,Calcium hydroxide,Calcium carbide,Calcium chloride,A
Chemistry,What is the name of the process where an ester is hydrolyzed with an alkali?,Saponification,Esterification,Neutralization,Hydrogenation,A
Chemistry,Which vitamin is also known as tocopherol?,Vitamin A,Vitamin B,Vitamin E,Vitamin K,C
Chemistry,What is the product when an alkene reacts with water in the presence of acid?,Alcohol,Aldehyde,Carboxylic acid,Ketone,A
Chemistry,Which carbohydrate is used as a storage polysaccharide in plants?,Glycogen,Starch,Cellulose,Chitin,B
Chemistry,What is the functional group in ethers?,-O-,-OH,-COOH,-CHO,A
Chemistry,Which compound is used in the manufacture of soap?,Sodium hydroxide,Potassium hydroxide,Calcium hydroxide,Ammonium hydroxide,A
Chemistry,What is the product when an amine reacts with nitrous acid?,Diazonium salt,Amide,Nitro compound,Alcohol,A
Chemistry,Which polymer is used for making non-stick coatings?,Polytetrafluoroethylene,Polystyrene,Polypropene,Nylon,A
Chemistry,What is the test for the presence of a phenol group?,Neutral FeCl3 test,Bromine test,Tollens' test,Benedict's test,A
Chemistry,Which compound is used as an anesthetic in surgery?,Chloroform,Ether,Ethanol,Methanol,A
Chemistry,What is the product when an alkyne undergoes complete combustion?,CO2 and H2O,CO and H2O,CO2 and H2,CO and H2,A
Chemistry,Which vitamin is synthesized in the skin on exposure to sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,D
Chemistry,What is the name of the process where glucose is converted to pyruvate?,Glycolysis,Fermentation,Respiration,Photosynthesis,A
Chemistry,Which compound is used as a preservative in food?,Sodium benzoate,Sodium chloride,Sodium bicarbonate,Sodium hydroxide,A
Chemistry,What is the product when an alcohol is oxidized with PCC (pyridinium chlorochromate)?,Aldehyde,Carboxylic acid,Ketone,Alkene,A
Chemistry,Which carbohydrate is a structural polysaccharide in plants?,Starch,Cellulose,Glycogen,Chitin,B
Chemistry,What is the functional group in alkyl halides?,-X (halogen),-OH,-COOH,-NH2,A
Chemistry,Which compound is used in the manufacture of explosives?,Nitroglycerin,Glycerol,Ethanol,Methanol,A
Chemistry,What is the product when benzene undergoes nitration?,Nitrobenzene,Chlorobenzene,Bromobenzene,Aminobenzene,A
Chemistry,Which polymer is used for making rubber tires?,Natural rubber,Polystyrene,Polytheme,Nylon,A
Chemistry,What is the test for the presence of an amino acid?,Ninhydrin test,Biuret test,Benedict's test,Tollens' test,A
Chemistry,Which compound is used as a solvent in dry cleaning?,Tetrachloroethene,Ethanol,Water,Benzene,A
Chemistry,What is the product when an alkene undergoes ozonolysis?,Carbonyl compounds,Alcohols,Carboxylic acids,Alkanes,A
Chemistry,What is the definition of an acid according to the document?,A proton acceptor,A substance that produces hydroxonium ions in aqueous solution,A substance that turns red litmus blue,A compound containing oxygen,B
Chemistry,Which of the following is an example of an organic acid?,Hydrochloric acid,Trioxonitrate(V) acid,Ethanoic acid,Tetraoxosulphate(VI) acid,C
Chemistry,What distinguishes a strong acid from a weak acid?,Strong acids are concentrated, while weak acids are dilute,Strong acids ionize completely, while weak acids ionize partially,Strong acids have a higher pH than weak acids,Strong acids are organic, while weak acids are inorganic,B
Chemistry,What is the basicity of tetraoxosulphate(VI) acid?,1,2,3,4,B
Chemistry,Which physical property is common to all acids?,They turn red litmus blue,They have a bitter taste,They have a sour taste,They are soapy to touch,C
Chemistry,What gas is liberated when acids react with most metals?,Carbon dioxide,Oxygen,Hydrogen,Nitrogen,C
Chemistry,Which of the following methods can be used to prepare an acid?,Dissolving a basic oxide in water,Combining a metal with water,Dissolving an acid anhydride in water,Heating a carbonate,C
Chemistry,What is the pH of a neutral solution?,0,7,14,It depends on the acid,B
Chemistry,If the hydrogen ion concentration of a solution is 1 x 10⁻³ mol/dm³, what is its pH?,1,3,11,13,B
Chemistry,Which of the following best describes a base?,A substance that produces hydroxide ions in water,A proton donor,A substance that turns blue litmus red,A substance with a pH less than 7,A
Chemistry,What is the difference between a base and an alkali?,All alkalis are bases, but not all bases are alkalis,All bases are alkalis, but not all alkalis are bases,Bases are soluble, while alkalis are insoluble,There is no difference; the terms are interchangeable,A
Chemistry,Which of the following is a strong base?,Calcium hydroxide,Ammonia solution,Sodium hydroxide,Aluminium hydroxide,C
Chemistry,What is the product of a neutralization reaction?,Salt and hydrogen gas,Salt and water only,Salt, water, and carbon dioxide,Acid and base,B
Chemistry,Which type of salt is formed when all replaceable hydrogen ions in an acid are replaced by a metal ion?,Acid salt,Basic salt,Normal salt,Double salt,C
Chemistry,What is the general formula for an acid salt?,MCO3,MHCO3,M2CO3,MOH,B
Chemistry,Which of the following salts is insoluble in water?,Sodium chloride,Potassium nitrate,Ammonium carbonate,Silver chloride,D
Chemistry,What process is used to recover a soluble salt that decomposes on heating?,Evaporation to dryness,Decantation,Crystallization,Filtration,C
Chemistry,A hydrated salt is one that:,Does not contain water molecules,Contains water of crystallization,Is always deliquescent,Is efflorescent,B
Chemistry,What term describes a substance that absorbs moisture from the air and forms a solution?,Efflorescent,Hygroscopic,Deliquescent,Anhydrous,C
Chemistry,Which of the following is a crystalline allotrope of carbon?,Charcoal,Coal,Coke,Diamond,D
Chemistry,What property of diamond makes it suitable for use in cutting tools?,It is a good conductor of electricity,It is soft and slippery,It is extremely hard,It has a low density,C
Chemistry,Why is graphite a good conductor of electricity?,It has a high density,It contains free delocalized electrons,It is transparent,It has a giant ionic structure,B
Chemistry,Which of the following is an amorphous form of carbon?,Graphite,Diamond,Lampblack,Fullerene,C
Chemistry,What is the main product when carbon burns in excess oxygen?,Carbon monoxide,Carbon dioxide,Water,Hydrogen gas,B
Chemistry,Which gas is produced when carbon reduces copper(II) oxide?,Carbon dioxide,Carbon monoxide,Oxygen gas,Hydrogen gas,A
Chemistry,How is carbon(IV) oxide typically prepared in the laboratory?,Heating potassium trioxocarbonate(IV),Action of dilute acid on a trioxocarbonate(IV),Heating carbon in air,Burning methane,B
Chemistry,Which method is used to collect carbon(IV) oxide gas?,Upward delivery,Downward delivery,Over water,Using a gas syringe,B
Chemistry,What is observed when carbon(IV) oxide is bubbled through lime water?,The lime water turns blue,The lime water turns milky,The lime water turns red,The lime water becomes warm,B
Chemistry,What is the main use of carbon(IV) oxide in fire extinguishers?,It is flammable,It supports combustion,It is denser than air and does not support combustion,It has a pleasant smell,C
Chemistry,How is carbon(II) oxide prepared from methanoic acid?,By dehydration with concentrated H2SO4,By reaction with water,By heating with limestone,By fermentation,A
Chemistry,Why is carbon(II) oxide considered dangerous?,It is flammable,It has a pleasant smell,It is poisonous and combines irreversibly with haemoglobin,It is a strong acid,C
Chemistry,Which of the following is a use of carbon(II) oxide?,In fire extinguishers,In the extraction of metals,In carbonated drinks,As a refrigerant,B
Chemistry,What is the highest grade of coal with the highest carbon content?,Peat,Lignite,Bituminous,Anthracite,D
Chemistry,What process is used to obtain various products from coal by heating in the absence of air?,Distillation,Cracking,Destructive distillation,Fractional distillation,C
Chemistry,Which of the following is NOT a product of the destructive distillation of coal?,Coal gas,Ammoniacal liquor,Coal tar,Oxygen,D
Chemistry,What is the primary use of coke?,As a fuel and reducing agent in metal extraction,In making jewelry,As a fertilizer,In the food industry,A
Chemistry,What is producer gas a mixture of?,Carbon monoxide and hydrogen,Carbon monoxide and nitrogen,Methane and hydrogen,Carbon dioxide and nitrogen,B
Chemistry,How is water gas produced?,Passing air over red-hot coke,Passing steam over white-hot coke,Heating coal,Distilling crude oil,B
Chemistry,What is the main difference between producer gas and water gas?,Producer gas has a higher calorific value,Water gas has a higher calorific value,Producer gas is a mixture of CO and H2,Water gas is a mixture of CO and N2,B
Chemistry,What is the chemical formula for trioxocarbonate(IV) acid?,H2CO3,H2CO2,HCO3,H3CO3,A
Chemistry,How are soluble trioxocarbonates(IV) like Na2CO3 prepared?,By precipitation,By bubbling CO2 through the corresponding alkali,By direct combination of elements,By heating the metal,B
Chemistry,What is the test for a trioxocarbonate(IV) ion?,It turns lime water milky,It gives a white precipitate with silver nitrate,It liberates ammonia when heated,It decolorizes bromine water,A
Chemistry,What happens when a hydrogen trioxocarbonate(IV) salt is heated?,It melts,It decomposes to give the normal carbonate, water, and CO2,It turns into a gas,It becomes efflorescent,B
Chemistry,What is the primary source of aliphatic hydrocarbons?,Coal,Natural gas and petroleum,Plants and animals,The atmosphere,B
Chemistry,What process is used to separate crude oil into fractions?,Cracking,Reforming,Polymerization,Fractional distillation,D
Chemistry,Which petroleum fraction is used as fuel for jet engines?,Petroleum gas,Petrol,Kerosene,Lubricating oil,C
Chemistry,What is the purpose of cracking in the petroleum industry?,To separate different fractions,To break down large hydrocarbons into smaller ones,To remove impurities,To combine small hydrocarbons into larger ones,B
Chemistry,What is the octane number of 2,2,4-trimethylpentane (iso-octane)?,0,50,100,-10,C
